ru,en,predictions,comet_score
"Средний возраст больных составил 29±12,4 года.",The average patient's age was 29±12.4 years.,"Средний возраст больных составил 29±12,4 года до лечения.",0.963036060333252
"Рассматриваются клинические примеры его использования при хронической обструктивной болезни легких (ХОБЛ), остром и хроническом бронхите, тяжелой бронхиальной астме.","Clinical examples of its use in chronic obstructive pulmonary disease, acute and chronic bronchitis, and severe asthma are considered.","Рассмотрены клинические примеры его использования при хронической обструктивной болезни легких, остром и хроническом бронхите",0.9248663783073425
"В 1-й и 3-й группах уровень VEGF-A существенно повышался, начиная со 2-й недели наблюдения.","In groups 1 and 3, the level of VEGF-A increased significantly starting from the 2nd week while in group 2 this indicator was slightly increased approaching later (up to 33 days of observation) to the upper values in the reference group.","В 1-й и 3-й группах уровень VEGF-A существенно повышался, начиная с 2-й недели, а во 2-й группе показатель незначительно увеличился",0.9147695899009705
Цель работы - на основании анализа данных литературы изучить проявления аутоиммунных ревматических заболеваний в гортани.,The objective of the present work based on the analysis of the relevant literature publications was to study clinical manifestations of the autoimmune rheumatic disease affecting the larynx.,Цель работы - на основании анализа данных литературы изучение клинических проявлений аутоиммунного ревматического заболевания,0.9091770052909851
Методы,METHODS,Материал и методы.,0.906160295009613
Методы,Objective,Материал и методы.,0.9015186429023743
Рассмотрены современные представления об основных механизмах повреждения при ишемическом инсульте.,[Pathogenetic aspects of the development of acute focal cerebral ischemia].  Current concepts on the main mechanisms of brain damage in ischemic stroke are considered.,Рассмотрены современные представления об основных механизмах повреждения головного мозга при ишемическом ишемическом инсульте,0.8975610136985779
"Средняя глубина повреждения стенки вены (мкм) составила: в первой группе – 122,9, во второй – 182,9 и в третьей – 267 мкм.","The average depth of damage to the venous wall (μm) amounted in the first group to 122.9 ?m, in the second group to 182.9 μm, and in the third group to 267 μmm.","Средняя глубина повреждения стенки вены (мкм) составила в первой группе – 122,9 мкм, во второй группе – 182,9 мкм, в третье – 267 мм мм мм",0.8928552865982056
"Полученные результаты позволяют предположить ведущую роль цитомегаловируса в развитии перинатальной патологии глаз, которая клинически у детей грудного возраста сходна с ретинобластомой.","The results suggest that cytomegalovirus infection plays the leading role in the development of perinatal eye pathology, which, in infants, is clinically similar to retinoblastoma.","Полученные результаты свидетельствуют, что цитомегаловирусная инфекция играет ведущую роль в развитии перинатальной патологии",0.8875792622566223
Результаты и заключение.,RESULTS,Результаты.,0.8871201872825623
Кратко представлена концепция эпителиально-эндотелиальной дисфункции и эпителиально-эндотелиального дистресс-синдрома.,[Epithelial dysfunction associated with pyo-inflammatory diseases of the ENT organs].  The modern concept of epithelial-endothelial dysfunction and epithelial-endothelial distress-syndrome associated with pyo-inflammatory ENT diseases is presented.,"Представлена современная концепция эпителиально-эндотелиальной дисфункции и эпителиально-эндотелиального дистресс-синдрома, а",0.885485827922821
Разработка методики комплексной оценки генетически обусловленного риска развития ишемического инсульта (ИИ) и оценка ее эффективности.,AIM  To develop a method of the complex assessment of genetic risk for ischemic stroke (IS) and evaluate its effectiveness.,Разработка метода комплексной оценки генетического риска генетического развития ишемического инсульта (ИИ) и характеризования,0.8845774531364441
"Наибольший эффект отмечался у женщин, получавших комплексную терапию с включением дозированной ходьбы.",The most pronounced effects were documented in the women who had received combined therapy with the inclusion of dosed physical exercises in the form of walking.,"Наиболее выраженные эффекты выявлены у женщин, получавших комплексную терапию с включением дозированных физических вмешательс",0.8741148114204407
"В настоящее время возрастает потребность в разработке новых, научно обоснованных подходов и методов судебно-медицинской идентификации личности.",[The modern view of the problem of the identification of the dominant hand].  There are currently the increasing requirements for the development of new scientifically substantiated approaches to and methods of forensic medical expertise for the purpose of personality identification.,В настоящее время возрастают потребность разработки новых научно-обоснованных подходов и методов судебно-медицинской эксперти,0.8738142848014832
Полученные результаты могут быть использованы для дифференциальной диагностики смерти от хронической алкогольной интоксикации.,It is concluded that the results of the study can be used for differential diagnostics of deaths from chronic alcohol intoxication and other causes.,"Сделан вывод, что результаты исследования могут быть использованы для дифференциальной диагностики смерти от хронической алко",0.867943525314331
Выявить особенности параметров микроциркуляции при компенсированном и декомпенсированном сахарном диабете 2-го типа (СД-2).,AIM  To reveal the features of microcirculatory parameters in compensated and decompensated type 2 diabetes mellitus (T2DM).,Выявить особенности параметров микроциркуляции при компенсированном и декомпенсированном диаберном диабете 2-го типа (СД 2-го ти,0.8635192513465881
"Приведено клиническое наблюдение редкого случая ревматоидного артрита (РА), развившегося у пациента спустя 9 лет после установления диагноза IgA-нефропатии.",[Late-onset rheumatoid arthritis in a patient with successfully treated IgA nephropathy].  The paper describes a rare clinical case of rheumatoid arthritis (RA) that developed in a patient 9 years after diagnosing IgA nephropathy.,"Представлено редкое клиническое наблюдение ревматоидного артрита (РА), развившегося у пациента с хроническим диагнозом нефропат",0.8602968454360962
Выводы,Lessons learnt,Выводываются результаты.,0.8579488396644592
"Полученные результаты позволяют предположить, что этиология личностных и иммунологических особенностей может иметь общие элементы на уровне структуры гена IL-4.",The results suggest that the etiology of personality and immune characteristics can share common genetic elements including IL-4.,"Полученные результаты свидетельствуют, что этиология личностных и иммунологических характеристик может иметь общие генетическ",0.8530899286270142
"Однако, когда речь идет о повторных и осложнённых реконструкциях, необходим индивидуальный подход с оценкой всех возможных рисков.","However, performing secondary and complicated reconstructions requires an individual approach with the assessment of all possible risks involved.","Однако, при разработке вторичных и осложненных реконструкций требуется индивидуальный подход с оценкой всех возможных функций",0.8518175482749939
"Обследованы 109 пациентов (218 небных миндалин) с хроническим тонзиллитом, из них 64 женщины и 45 мужчин в возрасте от 15 до 54 лет.",A total of 109 patients (218 palatine tonsils) presenting with chronic tonsillitis were available for the examination including 64 women and 45 men at the age varying from 15 to 54 years.,"Проведено обследование 109 пациентов (218 миндатилинов) с хроническим тонзиллитом, из них 64 женщины и 45 мужчин в возрасте от 15 до 54 лет",0.8495743274688721
Рассмотрена взаимосвязь интенсивности болевого синдрома и расстройств в психоэмоциональной сфере.,Special emphasis is placed on the discusses of the relationship between the intensity of the pain syndrome and psycho-emotional disorders.,Особое внимание представлено обсуждению взаимосвязи между интенсивностью болевого синдрома и психоэмоциональными функциональн,0.8477997183799744
Результаты и обсуждение.,A set of psychological methods was used.,Представлены результаты и заключение.,0.8474196195602417
"Исходная острота зрения (ОЗ) у пациентов с ОПЭС (0,14±0,1) была значимо (р<0,05) ниже, чем у пациентов без ОПЭС (0,32±0,21), и отрицательно ассоциирована с наличием ОПЭС (r=–0,61, р<0,05).","Baseline visual acuity (VA) in patients with PED (0.14±0.1) was significantly (р<0.05) lower than in patients without PED (0.32±0.21) and had negative correlation with PED presence (r=-0.61, р<0.05).","Исходная острота зрения (ОЗ) у пациентов с ОПЭС (0,14±0,1) была достоверно (р<0,05) ниже, чем у пациентов с ОПЭС (0,32±0,21), и имела негатив",0.8404698967933655
Полученные результаты могут быть использованы для психологической диагностики и коррекции эмоционально-личностных и когнитивных нарушений у лиц данной категории.,"The received results can be used for psychological diagnostics and correction of emotional, personal and cognitive disorders of the elderly people.",Полученные результаты могут быть использованы для психологической диагностики и коррекции комплексных функций пожилых пожилых,0.8395617008209229
Описана цитоплазматическая реакция CD44 в аденокарциномах и мембранная реакция CD44 в 98% зубчатых образований толстой кишки.,The cytoplasmic reaction of CD44 in adenocarcinomas and the membrane reaction of CD44 in 98% of the 'serrated' polyps of the colon are described.,Описана цитоплазматическая реакция CD44 в аденокарциномах и мембранная реакция CD44 в хронической группе хронической хрящей полипы,0.8368330597877502
Вывод.,CONCLUSION,Заключение.,0.835146963596344
"В исследование включен 471 пациент, из них 244 (51,8%) мужчины, 227 (48,2%) женщин.","The study included 471 patients, 244 (51.8%) men and 227 (48.2%) women.","В исследование включен 471 пациент, выше 244 (51,8%) мужчины, выше - 127 (48,2%) женщин.",0.8345398902893066
"Всем проведено морфологическое исследование миокарда: эндомиокардиальная биопсия - ЭМБ (n=71), интраоперационная биопсия (n=13), исследование эксплантированного сердца (n=6), аутопсия (n=11).","All underwent myocardial morphological examination: endomyocardial biopsy (EMB) (n=71), intraoperative biopsy (n=13), study of the explanted heart (n=6), and autopsy (n=11).","Всем проведено морфологическое исследование миокарда: эндомиокардиальная биопсия (ЭМБ) (n=71), внутриоперационная биопсия (n=13), пр",0.8336064219474792
"Описаны местные и общие причины появления и развития данного патологического процесса, основные методы его диагностики и лечения.",Local and general factors of this pathological process advent and development were described.  The main tools of focal enamel demineralization diagnostics and treatment were observed.,"Описаны местные и общие факторы появления и развития данного патологического процесса, основные причины фокальной деминерализ",0.8319733738899231
Результаты и заключение.,RESULTS AND CONCLUSION,Заключение.,0.8314942717552185
"Клиническую группу составили 207 пациентов в возрасте от 7 до 89 лет (в среднем 41±7,3 года).",The clinical group consisted of 207 patients ranging in age from 7 to 89 years (the mean age of 41±7.3 years).,"Клиническую группу составили 207 пациентов в возрасте от 7 до 89 лет (в среднем возрасте 41±7,3 года) в возрасте долговерного возраста",0.830507218837738
"Материал и методы.  Обследовали 100 больных в возрасте от 18 до 77 лет (средний 38,23±14,37 года), страдающих фокальной эпилепсией.","One hundred patients, including 74 women, aged from 18 to 77 years (38.23±14.37 years), with focal epilepsy were examined.  Monotherapy with LTG was administered to 54 patients, duotherapy to 46 patients (LTG and valproic acid combination to 27 patients, LTG and liver enzymes inducers to 19 patients).","Обследованы 100 пациентов, в том числе 74 женщины в возрасте от 18 до 77 лет (от 38,23±14,37 года) с фокальной эпилепсией.",0.8299198746681213
Основным методом диагностики явилось ультразвуковое исследование.,Ultrasonographic study was the main method of diagnosis.,"Основным методом диагностики являлось ультразвуковое исследование, посвященное диагностическому исследованию.",0.8297876119613647
Интраоперационные осложнения в виде повреждения сигмовидной кишки возникли у 2 больных со скользящей левосторонней паховой грыжей.,Intraoperative complications such as sigmoid colon lesion occurred in 2 patients with sliding left-sided hernia.,"Интраоперационные осложнения, включая поражение сигмоидной толстой кишки, выявлялись у 2 пациентов с хронической поврежденией",0.8284204006195068
"Оздоровительный потенциал местности оценивали в соответствии с методическими рекомендациями №96/226 по составлению биоклиматического паспорта, утвержденными Министерством здравоохранения Российской Федерации 7 февраля 1997 г.",The medical potential of the area was assessed in accordance with the methodological guidelines №96/226 on drawing up the bioclimatic passport approved by the Ministry of Public Health of the Russian Federation on the 7thFebruary of 1997.,Медицинский потенциал оценивали в соответствии с методическими рекомендациями No96/226 по составлению биоклиматического потенциала,0.8269217610359192
"В сроки наблюдения до 1 мес. при ультразвуковом контроле определяли облитерацию вены, диаметр облитерированного участка составил 0,3–0,4 см.","By means of ultrasonographic control carried out within 1-month of follow up we assessed obliteration of the vein, with the diameter of the obliterated portion amounting to 0.3-0.4 cm.","По методам ультразвукового контроля, проведенного в течение 1 мес наблюдения, оценивали облитерацию вены, диаметр облитерации",0.8210183382034302
У всех пациентов в послеоперационном периоде удалось достичь значимого регресса болевого синдрома и неврологических расстройств.,"In the postoperative period, all patients achieved significant regression of pain and neurological disorders.",В послеоперационном периоде у всех пациентов достигается существенная регрессия болевого и неврологического расстройств перен,0.8206951022148132
Олимпиада способствует совершенствованию профессиональной подготовки по судебной медицине и обеспечивает первые профессиональные контакты на межвузовском (международном) уровне.,They improve the quality of vocational training in forensic medicine and help to establish the first professional contacts at the interinstitutional (including international) level.,Это повышает качество профессиональной подготовки в судебной медицине и позволяет сформировать первые профессиональные связи,0.8203482031822205
"Оценивали показатели так называемого кардиометаболического риска в зависимости от типа МГТ: индекс массы тела (ИМТ), параметры липидограммы, уровень глюкозы в венозной плазме крови, артериальное давление.","The indicators of the so-called cardiometabolic risk, such as body mass index (BMI), lipidogram readings, venous plasma glucose levels, and blood pressure, were estimated in relation to the type of MHT.","Проанализированы показатели так называемого кардиометаболического риска, включающие индекс массы тела (ИМТ), показания липидогр",0.8156791925430298
"Цель - установить связь между основными маркерами стволовых опухолевых клеток (СОК), CD44 и CD24, уровнем продукции тенасцина С и химиорезистентностью при тройном негативном раке молочной железы (РМЖ).","[Role of tenascin С in triple-negative breast cancer].  AIM  to establish a relationship between the main markers tumor stem cells (TSCs), CD44, and CD24, the level of tenascin C production, and chemoresistance in triple-negative breast cancer (BC).","Цель - установить взаимосвязь между основными маркерами стволовых опухолевых клеток (СОК), CD44 и CD24, уровнем продукции тенасцина С",0.8147422075271606
"Установлено, что ухудшение функции почек у пациентов старческого возраста при III–IV стадии ХБП приводит к достоверному увеличению СРПВ, что позволяет использовать этот показатель для оценки состояния сердечно-сосудистой системы.","The researchers found that the decline in renal function in stages III and IV CKD lead to a significant increase in PWV in elderly patients, which allows using this indication to assess the state of the cardiovascular system.","Установлено, что снижение функции почек у пациентов пожилого возраста с III и IV стадиями ХБП приводит к достоверному увеличению п",0.8136841654777527
В данном обзоре представлен сравнительный анализ отдаленных результатов лечения атеросклероза сонных артерий методами стентирования и каротидной эндартерэктомии.  До настоящего времени проведено более десяти международных рандомизированных исследований.,[Remote results of open surgical and endovascular treatment of internal carotid artery stenoses].  The article is a review containing a comparative analysis of the remote results in patients presenting with carotid artery atherosclerosis and treated by means of either stenting or carotid endarterectomy.,В обзоре представлен сравнительный анализ отдаленных результатов лечения пациентов с хроническим атеросклерозом сонной артери,0.8120825290679932
"Динамика качества жизни и трудоспособности оценивалась по шкале Osvestry, степень удовлетворенности пациента проведенным лечением - по шкале MacNab.",Changes in the quality of life and ability to work were assessed by using the Oswestry scale; patient satisfaction with treatment was assessed by using the MacNab scale.,"Изменения качества жизни и способности работы оценивали по шкале Освестри, удовлетворительность пациентов по шкале препарата",0.8088931441307068
"Среди факторов риска, достоверно преобладающих в группе дренаж-ассоциированных менингитов, можно выделить: длительность дренирования, сочетание с наружной ликвореей, а также проявления общей тяжести состояния больных.","The risk factors significantly predominating in patients with drainage-associated meningitis include the duration of drainage, association with external CSF leakage, as well as factors associated with indicators of the overall severity of the condition.","Факторы риска, достоверно преобладающие у пациентов с дренаж-ассоциированными менингитами, являются длительностью дренажения,",0.8070984482765198
Цель исследования.  Изучение динамики когнитивных нарушений у больных с хронической ишемией мозга на фоне лечения кортексином и мемантинолом (мемантином).,[The efficacy of cortexin and memantinol (memantine) in the treatment of cognitive impairment in patients with chronic cerebral ischemia].,Цель исследования. Оценка эффективности кортексина и мемантинола (ментина) в лечении когнитивных нарушений у пациентов с хрони,0.8052132725715637
"Показатели чувствительности, специфичности и точности КСП, анализируемые по ROC-кривой, равны 93,3, 99,7 и 98,9% соответственно, что превышает аналогичные показатели MPI и APACHE II.","Sensitivity, specificity and accuracy were 93.3, 99.7 and 98.9%, respectively according to ROC-curve that exceeds those parameters of MPI and APACHE II.","Результаты и заключение. Оценка чувствительности, специфичности и точностности составила 93,3, 99,7 и 98,9% соответственно, по данным",0.8050791621208191
"Уровень CTX-I у больных АС исходно не отличался от уровня у здоровых, на фоне постоянного приема теноксикама уровень CTХ-I снизился, при приеме по требованию не изменился.",Baseline CTX-I levels did not differ between the patients with AS and the healthy individuals; those declined during continuous intake of tenoxicam and remained unchanged during on-demand administration.,"Уровень CTX-I исходно не отличался между пациентами с АС и здоровыми пациентами, снизился во время постоянного приема теноксик",0.8043709397315979
Пациентов разделили на две группы в соответствии со степенью укорочения пищевода: 1-я группа - 98 больных с укорочением пищевода I степени; 2-я группа - 102 пациента с укорочением II степени.,Patients were divided into 2 groups according to the degree of esophagus shortening: group I - 98 patients with esophagus shortening degree I; group II - 102 patients with shortening grade II. Men/women ratio was 87(43.5%)/113(56.5%).,Пациенты были разделены на 2 группы в соответствии с степенью укорочения эзофагуля: 1-я группа - 98 пациентов с указанием степени,0.7998809814453125
Выводы.,CONCLUSION,Заключение.,0.7991854548454285
"Методика электромагнитной навигации была использована при проведении 102 операций у 98 пациентов, в том числе 36 трансназальных эндоскопических вмешательств.","The electromagnetic navigation technique was used for 102 operations in 98 patients, including 36 transnasal endoscopic interventions.  There were no intraoprtative and postoperative complications associated with the use of the system.","Методика электромагнитной навигации была использована при 102 операциях у 98 пациентов, в том числе 36 трансназальных эндоскопически",0.7958024144172668
"Раннее выявление лиц, инфицированных сифилисом, и их последующее эффективное лечение необходимы для профилактики и контроля сифилиса.",PROBLEM  Early detection of syphilis-infected people followed by effective treatment is essential for syphilis prevention and control.,"Раннее выявление пациентов, инфицированных сифилисом, с использованием эффективного лечения при профилактике сифилисов для пр",0.7949544787406921
Выраженность гиповитаминоза D усугубляется с возрастом и длительностью менопаузы у женщин.,The intensity of hypovitaminosis of vitamin D is aggravated with age and the duration of menopause in women.,Интенсивность гиповитаминоза D усугубляется с возрастом и продолжительностью менопаузы у женщин в хрони.,0.7945954203605652
Цель исследования.  Изучить влияние гипергликемии на результаты чрескожных коронарных вмешательств (ЧКВ) у больных острым инфарктом миокарда с подъемом сегмента ST (ОИМпST).,[Impact of hyperglycemia on the results of percutaneous coronary interventions in patients with acute ST-segment elevation myocardial infarction].,Цель исследования. Изучение влияния гипергликемии на результаты причиновых коронарных вмешательств у пациентов с острым инфар,0.7945219278335571
"Выявление маркеров БА в периферических тканях, возможных для биопсии, имеет важное значение для прижизненной диагностики, профилактики и таргетного лечения БА.","Verification of AD markers in peripheral tissues for biopsy have the important significant for life diagnostics, prevention and and target AD treatment.","Выявление маркеров БА в периферических тканях для биопсии имеет важное значение для прижизнечной диагностики, профильной и це",0.7928672432899475
"Обновленные данные по лечению больных ИМпST точно определяют время до выполнения чрескожных коронарных вмешательств, подходы к реваскуляризации; обновления коснулись также фибринолитической терапии и новых подходов к гиполипидемической терапии.","The updated data on the treatment of patients with STEMI accurately determine the time to percutaneous coronary interventions, approaches to revascularization; the updates touch upon fibrinolytic therapy and new approaches to lipid-lowering therapy too.","Обобщенные данные о лечении больных ИМП точно определяют время к первым коронарным вмешательствам, подходы к реваскуляризации",0.7910807132720947
Изучались общепринятые иммунологические и воспалительные тесты.,The routine inflammatory and immune tests were employed.,Проведено раннее воспалительное иммунологическое исследование.,0.7906679511070251
"Одним из нетипичных клинических проявлений болезни Гоше служит поражение легких с развитием легочной гипертензии, обычно рассматриваемое в рамках основного заболевания - развития пневмосклероза вследствие нарушения функции макрофагов.","One of the atypical clinical manifestations of Gaucher disease is damage to the lungs with the development of pulmonary hypertension, which is usually considered within the underlying disease - the development of pneumosclerosis due to macrophage dysfunction.",Одним из атипичных клинических проявлений болезни Гоше является повреждение легких с развитием легочной гипертензивной гиперт,0.7905519604682922
"Статистически достоверную наименьшую выраженность болевого синдрома в раннем послеоперационном периоде мы отметили в группе единого лапароскопического доступа (р<0,05).",The lowest pain severity in early postoperative period was noted in case of single laparoscopic access (p<0.05).,"Наименьшая выраженность болевой в раннем послеоперационном периоде отмечена в случае одного лапароскопического доступа (p<0,05),",0.7890965342521667
"Рассмотрение особенностей клинических проявлений и лечения постинсультной депрессии у пациентов молодого возраста, перенесших ишемический инсульт.",AIM  To consider clinical manifestations and treatment of post-stroke depression in young patients with carotid ischemic stroke.,Цель исследования - разработка клинических проявлений и лечения постинсультной депрессии у пациентов молодого ишемического инс,0.7865329384803772
"Цель работы – оценить глубину повреждения стенки вены после эндовенозной лазерной коагуляции (ЭВЛК) при разной мощности аппарата – 5, 7 и 10 Вт и одинаковой линейной плотности энергии (ЛПЭ) – около 70 Дж/см.","[Vein morphology after endovenous laser coagulation at different power and similar linear density of energy].  The purpose of the study was to assess the depth of damage to the venous wall after endovenous laser coagulation (EVLC) at different power of the unit - 5, 7 and 10 W and similar linear density of energy (LDE) - approximately 70 J/cm.",Цель исследования - оценить глубину повреждения стенки вены после эндовенозной лазерной коагуляции (ЭВЛК) при различной мощност,0.7856930494308472
Данный клинический случай показывает необходимость прецизионной диагностики атеросклеротического поражения аорты методом эпиаортального сканирования для предупреждения периоперационных острых нарушений мозгового кровообращения.,This clinical case report demonstrates the necessity of precision diagnosis of an atherosclerotic lesion of the aorta by means of epiaortic scanning in order to prevent perioperative acute impairments of cerebral circulation.,Данный клинический случай показывает необходимость представленной диагностики атеросклеротического поражения аорты с помощью,0.7842616438865662
Выводы.,CONCLUSIONS,Заключение.,0.7774249911308289
"Показано, что психические расстройства ассоциируются с возрастанием риска развития ИБС и могут ухудшить течение коронарного заболевания.",Mental disorders are shown to be associated with increased risk of CHD and to worsen the course of coronary disease.,"Показано, что психические расстройства ассоциируются с повышенным риском развития ИБС и хроническим течением хронической тече",0.7746551036834717
"Инфицированность токсокарой установлена у детей старше 12 мес: у 3 из 9 с псевдоретинобластомами и у 2 из 23 с ретинобластомой (p>0,05).",Toxocara infection was identified in children over 12 months of age: in 3 out of 9 patients with pseudoretinoblastoma and in 2 out of 23 patients with retinoblastoma (p>0.05).,Инфекция токсокары выявлена у детей старше 12 мес: у 3 из 9 пациентов с псевдоретинобластомой и у 2 - у 23 пациентов с первышенной пе,0.7741071581840515
